NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2018],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Acrelândia,1200013,acrelandense,EDERALDO CAETANO DE SOUSA,1807.948,15020,6.94,95.1,0.604,18.66,25276.5301,27229.75864,16119.75,
Assis Brasil,1200054,assis-brasiliense,ANTONIO BARBOSA DE SOUSA,4974.175,7300,1.22,85.1,0.588,20.73,18177.08341,17004.90982,12134.14,
Brasiléia,1200104,brasileense,FERNANDA DE SOUZA HASSEM CESAR,3916.502,25848,5.46,90.2,0.614,14.63,53414.58452,43280.5778,16728.68,
Bujari,1200138,bujariense,ROMUALDO DE SOUZA ARAUJO,3034.869,10111,2.79,91.1,0.589,4.13,21293.7741,16796.61014,16704.34,
Capixaba,1200179,capixabense,JOSÉ AUGUSTO GOMES DA CUNHA,1701.974,11456,5.17,92.6,0.575,25.64,22177.70636,18125.24714,16085.3,
Cruzeiro do Sul,1200203,cruzeirense,ILDERLEI SOUZA RODRIGUES CORDEIRO,8779.403,87673,8.94,94.9,0.664,12.11,139636.4082,131394.8468,13263.8,
Epitaciolândia,1200252,epitaciolandense,JOÃO SEBASTIÃO FLORES DA SILVA,1654.768,18122,9.13,93.7,0.653,7.63,31996.17426,28161.83244,16382.28,
Feijó,1200302,feijoense,KIEFER ROBERTO CAVALCANTE LIMA,27975.426,34675,1.16,82.9,0.539,23.26,52016.77509,44915.33544,10544.48,
Jordão,1200328,jordãoense,ELSON DE LIMA FARIAS,5357.282,8159,1.23,71.3,0.469,21.35,26243.1281,22373.457,9688.79,
Mâncio Lima,1200336,mancio-limense,ISAAC DE SOUZA LIMA,5452.853,18638,2.79,94.9,0.625,14.53,40273.43998,33192.43845,10796.46,
Manoel Urbano,1200344,manoel-urbanense,JOSÉ ALTANÍZIO TAUMATURGO SÁ,10633.137,9336,0.75,78,0.551,37.04,20832.27054,17500.70488,14182.17,
Marechal Thaumaturgo,1200351,thaumaturguense,ISAAC DA SILVA PIYÃKO,8191.692,18430,1.74,90.8,0.501,32.41,46853.60138,44092.30632,10084.48,
Plácido de Castro,1200385,placidiano,GEDEON SOUSA BARROS,1943.85,19565,8.86,93.6,0.622,6.21,37476.08482,32912.56101,14392.66,
Porto Walter,1200393,portowaltense,JOSÉ ESTEPHAN BARBARY FILHO,6443.83,11720,1.42,93.3,0.532,4.08,30739.64477,29105.94591,9853.18,
Rio Branco,1200401,rio-branquense,MARIA DO SOCORRO NERI MEDEIROS DE SOUZA,8834.942,401155,38.03,95.1,0.727,15.41,884827.2741,740733.1082,21543.65,
Rodrigues Alves,1200427,rodriguesalvense,SEBASTIÃO SOUZA CORREIA,3076.951,18504,4.68,94.6,0.567,17.81,40231.33543,35058.62081,10508.27,
Santa Rosa do Purus,1200435,santarosense,FRANCISCO DE ASSIS FERNANDES DA COSTA,6145.612,6362,0.76,63.8,0.517,55.25,21113.55007,18486.83729,10150.15,
Senador Guiomard,1200450,guiomaense,ANDRE LUIS TAVARES DA CRUZ MAIA,2322.03,22810,8.69,95.6,0.64,19.91,43306.45515,39298.31691,16162.26,
Sena Madureira,1200500,sena-madureirense,OSMAR SERAFIM DE ANDRADE,23753.066,45177,1.6,85.4,0.603,16.99,75150.72664,64406.75596,11176.37,
Tarauacá,1200609,tarauacaense,MARILETE VITORINO DE SIQUEIRA,20171.075,41976,1.76,85.6,0.539,21.28,71657.95386,63519.40993,10873.24,
Xapuri,1200708,xapuriense,FRANCISCO UBIRACY MACHADO DE VASCONCELOS,5347.468,19048,3.01,87.7,0.599,6.54,35332.63602,27153.761,12047.45,
Porto Acre,1200807,portoacrense,BENEDITO CAVALCANTE DAMASCENO,2604.885,18180,5.71,90.4,0.576,29.97,30554.59742,25481.7713,13045.53,
Água Branca,2700102,água-branquense,JOSÉ CARLOS DE CARVALHO,468.225,20162,42.62,97,0.549,14.44,48527.4317,43341.73304,6180.97,
Anadia,2700201,anadiense,JOSE CELINO RIBEIRO DE LIMA,186.134,17564,91.96,94.4,0.568,15.21,60458.85909,15188.73683,7878.62,
Arapiraca,2700300,arapiraquense,ROGERIO AUTO TEOFILO,345.655,230417,600.83,95.9,0.649,14.77,589893.3183,541162.1901,17245.95,
Atalaia,2700409,atalaiense,FRANCISCO LUIZ DE ALBUQUERQUE,533.258,47000,83.82,92.5,0.561,20.26,110965.4657,105758.0399,14098.23,
Barra de Santo Antônio,2700508,barrense,EMANUELLA CORADO ACIOLI DE MOURA,131.364,15792,102.79,93.3,0.557,6.97,42214.8473,31190.58911,10760.86,
Barra de São Miguel,2700607,barrense,JOSE MEDEIROS NICOLAU,74.244,8264,98.86,96.2,0.615,13.33,34324.33075,30000.38108,18946.4,
Batalha,2700706,batalhense,MARINA THEREZA CINTRA DANTAS,319.036,18455,53.21,95.9,0.594,3.36,53185.33831,49101.41207,8803.02,
Belém,2700805,belenense,ANA PAULA ANTERO SANTA ROSA BARBOSA,66.655,4406,93.58,97.5,0.593,12.66,Não informado,Não informado,8036.87,
Belo Monte,2700904,belo-montense,CLAUDEVAL SANTOS SANTANA,335.047,6696,21.04,96.3,0.517,52.08,22674.1999,22434.31768,9688.61,
Boca da Mata,2701001,matense,GUSTAVO DANTAS FEIJO,185.973,27168,138.19,95.3,0.604,16.2,67278.8849,71328.07249,9670.16,
Branquinha,2701100,branquinhense,JAIRON MAIA FERNANDES NETO,165.25,10529,63.63,90,0.513,4.33,32873.09908,31876.10317,36881.55,
Cacimbinhas,2701209,cacimbinhense,HUGO WANDERLEY CAJU,273.767,10730,37.35,96.5,0.531,16.95,31967.53232,31708.31177,7276.71,
Cajueiro,2701308,cajueirense,ANTONIO PALMERY MELO NETO,94.357,21194,164.24,96.2,0.562,16.13,59318.49898,58018.04436,7196.65,
Campestre,2701357,camprestrense,NIELSON MENDES DA SILVA,65.91,6918,99.39,95.5,0.559,-,19684.13304,20007.4687,8046.53,
Campo Alegre,2701407,campo-alegrense,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,312.708,56579,172.2,91.1,0.57,9.9,98838.18974,90782.84827,7627.57,
Campo Grande,2701506,campo-grandense,ARNALDO HIGINO LESSA,169.988,9549,53.98,96.3,0.524,22.47,25870.74389,29541.60469,6823.91,
Canapi,2701605,canapiense,VINICIUS JOSE MARIANO DE LIMA,602.778,17726,30.02,97.5,0.506,15.5,48040.86731,46949.48524,5647.4,
Capela,2701704,capelense,ADELMO MOREIRA CALHEIROS,257.561,17124,70.39,93,0.573,25.75,49802.32342,51060.47982,10390.77,
Carneiros,2701803,carneirense,GERALDO NOVAIS AGRA FILHO,101.853,9000,73.32,96.2,0.526,16.76,21801.98846,19845.0974,5819.47,
Chã Preta,2701902,chã-pretense,RITA COIMBRA CERQUEIRA TENÓRIO,169.464,7319,41.34,97.6,0.575,8.55,28167.94299,22980.0838,9422.08,
Coité do Nóia,2702009,coitenense,JOSÉ DE SENA NETTO,88.759,10744,123.44,96.4,0.533,65.57,29951.79223,30176.34858,7558.21,
Colônia Leopoldina,2702108,leopoldinense,MANUILSON ANDRADE SANTOS,207.894,21575,96.29,92.6,0.517,26.82,30337.64634,46726.36684,10469.82,
Coqueiro Seco,2702207,coqueirense,MARIA DECELE DAMASO DE ALMEIDA,39.608,5826,139.09,95.7,0.586,37.97,26354.15421,24716.30858,10296.8,
Coruripe,2702306,coruripense,JOAQUIM BELTRÃO SIQUEIRA,897.78,56562,56.77,97.6,0.626,12.09,183316.0777,166089.2101,27183.71,
Craíbas,2702355,craibense,EDIEL BARBOSA LIMA,278.88,24129,83.44,96.5,0.525,7.33,57049.87433,51440.61594,6450.88,
Delmiro Gouveia,2702405,delmirense,ERALDO JOAQUIM CORDEIRO,626.69,51763,79.13,96.1,0.612,15.05,101820.8595,108857.6951,8737.53,
Dois Riachos,2702504,riachense,RAMON CAMILO SILVA,139.851,11054,77.45,93.9,0.532,7.14,31647.09076,28802.73703,6282.18,
Estrela de Alagoas,2702553,estrelense,ARLINDO GARROTE DA SILVA NETO,260.772,18153,66.41,96.7,0.534,26.74,56328.65301,45959.24905,5412.68,
Feira Grande,2702603,feira-grandense,FLÁVIO RANGEL APÓSTOLO LIRA,178.055,22152,123.42,94.8,0.533,5.95,49390.46852,42712.90565,8126.09,
Feliz Deserto,2702702,feliz-desertense,ROSIANA LIMA BELTRÃO SIQUEIRA,110.373,4729,47.31,96.5,0.565,14.49,19437.65174,15753.56476,22124.33,
Flexeiras,2702801,flexeirense,MARIA ISABEL COSTA SOUZA,333.052,12773,36.99,95.8,0.527,42.55,Não informado,Não informado,9030.87,
Girau do Ponciano,2702900,girauense,DAVID RAMOS DE BARROS,513.454,40588,73.11,94.3,0.536,17.33,90808.68089,83606.57081,7046.49,
Ibateguara,2703007,ibateguarense,MANOEL GERAERTES ALVES CRUZ,265.312,15606,57.1,96.6,0.518,19.31,37187.67777,34523.7848,7695.55,
Igaci,2703106,igaciense,OLIVEIRO TORRES PIANCO,334.344,25649,75.31,94.3,0.564,16.13,62795.39805,59169.27329,6427.14,
Igreja Nova,2703205,igreja-novense,VERÔNICA DANTAS LIMA E SILVA,427.029,24408,54.49,97.9,0.568,4.95,65356.43397,52716.9652,13425.98,
Inhapi,2703304,inhapiense,JOSÉ CICERO VIEIRA,372.02,18378,47.49,82.8,0.484,22.29,45353.00663,43619.85376,5548.08,
Jacaré dos Homens,2703403,jacarezeiro,JOSE FLORIANO BENTO DE MELO,148.992,5288,38.03,97.6,0.583,-,19618.64253,17950.93998,8900.04,
Jacuípe,2703502,jacuipense,AMARO FERREIRA DA SILVA JUNIOR,208.738,7036,33.26,96.8,0.548,-,34012.66495,25353.4205,9103.92,
Japaratinga,2703601,japaratinguense,KLEVER RÊGO LOUREIRO JUNIOR,85.356,8317,90.22,96.6,0.57,8.55,17463.10893,17893.10868,12715.06,
Jaramataia,2703700,jaramataiense,JEFFERSON TORRES BARRETO,105.863,5597,53.59,97.1,0.552,16.39,21981.42837,19223.90831,7670.77,
Jequiá da Praia,2703759,jequiaenses,JEANNYNE BELTRÃO LIMA SIQUEIRA,334.57,11624,34.21,97.4,0.556,5.85,42095.25687,42382.89126,16911.2,
Joaquim Gomes,2703809,joaquimgomense,ADRIANO FERREIRA BARROS,298.291,23903,75.68,93.9,0.531,21.63,67068.59271,45151.42228,8876.43,
Jundiá,2703908,jundiaense,CARLOS ANTONIO DE MORAES E LIMA FILHO,88.794,4175,45.56,96.2,0.562,-,19607.93139,17741.22448,10454.84,
Junqueiro,2704005,junqueirense,CARLOS AUGUSTO LIMA DE ALMEIDA,247.724,24731,98.66,97.8,0.575,12.99,Não informado,Não informado,14489.98,
Lagoa da Canoa,2704104,canoense,TAINA CORREA DE SA LUCIO DA SILVA,83.621,17934,206.33,95.2,0.552,16.61,48850.70975,44816.35718,6907.22,
Limoeiro de Anadia,2704203,limoeirense,MARCELO RODRIGUES BARBOSA,309.205,28495,85.48,94.9,0.58,13.37,60046.7121,59154.99171,17263.4,
Maceió,2704302,maceioense,RUI SOARES PALMEIRA,509.32,1012382,1854.1,95,0.721,14.27,2341738.833,2223470.579,20853.41,
Major Isidoro,2704401,isidorense,MARIA SANTANA MARIANO SILVA CAMPOS,448.496,19891,41.63,95.9,0.566,-,53868.4786,52402.50591,8147.72,
Maragogi,2704500,maragogiense,FERNANDO SERGIO LIRA NETO,334.165,32369,86.06,95.6,0.574,23.01,84644.29334,81930.04955,15157.55,
Maravilha,2704609,maravilhense,MARIA DA CONCEIÇÃO RIBEIRO DE ALBUQUERQU,332.374,9326,34.05,97.4,0.569,21.9,28366.2925,26806.16204,7037.56,
Marechal Deodoro,2704708,deodorense,CLAUDIO ROBERTO AYRES DA COSTA,331.186,51364,138.62,94.6,0.642,17.37,210912.7687,194939.6706,31655.89,
Maribondo,2704807,maribondense,LEOPOLDO CESAR AMORIM PEDROSA,180.107,13337,78.14,97.6,0.597,16.95,34915.35511,30912.65447,9550.07,
Mar Vermelho,2704906,mar-vermelhense,JULIANA LOPES DE FARIAS ALMEIDA,91.741,3534,39.23,97.8,0.577,-,17735.42834,15155.06057,8632.67,
Mata Grande,2705002,mata-grandense,ERIVALDO DE MELO LIMA,914.726,25226,27.2,94.5,0.504,19.07,57011.09744,54811.07943,6599.27,
Matriz de Camaragibe,2705101,matrizense,ANDERSON KENNEDY DA SILVA BOLEVARD,238.344,24649,108.12,97.3,0.584,25.86,58848.04704,58573.57698,10499.65,
Messias,2705200,messiense,JARBAS MAYA DE OMENA FILHO,114.156,17676,137.77,96.4,0.568,15.87,55092.18754,52520.59469,9785.62,
Minador do Negrão,2705309,negrense,GLEYSSON CORREIA CARDOSO FERRO,167.461,5337,31.47,97.9,0.563,24.69,34952.79888,18126.15261,8054.11,
Monteirópolis,2705408,guaribense,MAILSON DE MENDONCA LIMA,86.604,7153,80.54,97.6,0.539,7.35,21756.1982,21465.11177,7262.7,
Murici,2705507,muriciense,OLAVO CALHEIROS NOVAIS NETO,418.028,28137,62.58,93.7,0.527,9.17,69783.6247,67761.99153,8983.72,
Novo Lino,2705606,novo-linense,LUCIENE MARIA FERREIRA,215.547,12615,51.67,93.6,0.521,35.71,29597.94795,29513.7671,9936.86,
Olho d'Água das Flores,2705705,olho-daguense,CARLOS ANDRE PAES BARRETO DOS ANJOS,191.323,21437,111.01,94.7,0.565,21.68,56593.28708,53729.10778,9064.7,
Olho d'Água do Casado,2705804,casadense,JOSÉ DOS SANTOS,321.43,9303,26.29,96.1,0.525,-,22906.99004,23491.65678,6810.26,
Olho d'Água Grande,2705903,olho-grandense,JOSE ADELSON DE SOUZA,117.006,5117,41.83,97.9,0.503,-,18150.49263,16889.47674,8873.82,
Olivença,2706000,olivense,JOSÉ ARNALDO SILVA,175.708,11591,63.87,95.8,0.493,10.75,34379.95591,30828.98581,5586.41,
Ouro Branco,2706109,ouro-branquense,EDIMAR BARBOSA DOS SANTOS,196.561,11456,53.29,95.6,0.547,12.99,30221.66759,30590.63621,6021.73,
Palestina,2706208,palestinense,ELIANE SILVA LISBOA,38.189,4985,104.55,98.6,0.558,36.14,18989.68529,18576.09941,6934.88,
Palmeira dos Índios,2706307,palmeirense,JULIO CEZAR DA SILVA,450.958,73096,155.44,95.1,0.638,17.08,188134.7764,177766.7392,9785.07,
Pão de Açúcar,2706406,pão-de-açucarense,FLAVIO ALMEIDA DA SILVA JUNIOR,692.39,24446,34.86,96.3,0.593,20.09,66847.14238,59782.93103,6761.58,
Pariconha,2706422,pariconhense,FABIANO RIBEIRO DE SANTANA,254.719,10527,39.7,97.8,0.548,16.39,28685.23203,26667.29621,5786.86,
Paripueira,2706448,paripueirense,HAROLDO NASCIMENTO DA SILVA,92.788,13016,122.05,96.2,0.605,14.35,36994.90524,33936.38331,11800.69,
Passo de Camaragibe,2706505,camaragibense,EDVANIA FARIAS ROCHA UGÁ CAMARA,251.573,15232,60.39,97.3,0.533,17.7,42381.75945,39813.06977,8926.44,
Paulo Jacinto,2706604,paulo-jacintense,MARCOS ANTONIO DE ALMEIDA,118.457,7568,62.69,97.7,0.589,28.57,23126.59359,7708.79158,8078.2,
Penedo,2706703,penedense,MARCIUS BELTRÃO SIQUEIRA,689.875,63516,87.61,94.6,0.63,15.98,140420.6745,129900.4468,13202.44,
Piaçabuçu,2706802,piaçabuçuense,DJALMA GUTTEMBERG SIQUEIRA BREDA,241.125,17805,71.67,96.8,0.572,7.04,40319.21466,37705.89581,14973.06,
Pilar,2706901,pilarense,RENATO REZENDE ROCHA FILHO,251.066,35008,133.37,96.8,0.61,22.22,130550.3912,120927.3096,11893.43,
Pindoba,2707008,pindobense,MAXWELL TENORIO CAVALCANTE,117.086,2911,24.37,97.9,0.574,-,15365.52503,14144.16543,9953.17,
Piranhas,2707107,piranhense,MARISTELA SENA DIAS,410.112,24891,56.47,92.8,0.589,17.98,92811.40768,81173.33788,7950.03,
Poço das Trincheiras,2707206,pocense,MARIA APARECIDA FERREIRA RODRIGUES SILVA,284.257,14354,47.52,97,0.526,29.56,40198.62998,37591.32041,5957.86,
Porto Calvo,2707305,porto-calvense,DAVID KLEVISSON DA FONSECA SILVA PEDROSA,313.23,27079,83.49,95.4,0.586,22.99,66289.83267,64148.45852,11362.15,
Porto de Pedras,2707404,porto-pedrense,CARLOS HENRIQUE VILELA DE VASCONCELOS,257.105,7873,32.71,97.2,0.541,-,25184.82298,26755.05172,11723.43,
Porto Real do Colégio,2707503,colegiense,ALDO ENIO BORGES,236.677,20018,80.38,94,0.551,-,39683.80971,38593.30506,8197.7,
Quebrangulo,2707602,quebrangulense,MARCELO RICARDO VASCONCELOS LIMA,319.829,11342,35.89,96.5,0.559,12.88,39815.21622,9546.98627,8708.28,
Rio Largo,2707701,rio-larguense,GILBERTO GONÇALVES DA SILVA,293.816,74838,223.56,96.6,0.643,10.2,147948.8941,136916.6875,12968.97,
Roteiro,2707800,roteirense,WLADIMIR CHAVES DE BRITO,128.814,6680,51.48,96.3,0.505,22.39,32000.89671,28610.84902,15059.38,
Santa Luzia do Norte,2707909,nortense,EDSON MATEUS DA SILVA,28.857,7272,232.77,97.5,0.597,8.62,12676.16542,18477.84505,15213.66,
Santana do Ipanema,2708006,santanense,ISNALDO BULHOES BARROS,437.875,47486,102.61,95.7,0.591,17.65,132390.9281,124347.3713,10798.17,
Santana do Mundaú,2708105,mundauense,ARTHUR DA PURIFICAÇÃO FREITAS LOPES,225.407,10755,48.76,86.8,0.519,29.94,31089.72036,34054.77782,71759.71,
São Brás,2708204,são-braense,MARCOS SANDES,139.945,6953,48,93.9,0.572,15.04,19188.93705,18312.16475,9103.75,
São José da Laje,2708303,lajense,BRUNO RODRIGO VALENÇA DE ARAÚJO,256.637,23855,88.4,92.8,0.573,10,59519.05626,57978.6412,10430.9,
São José da Tapera,2708402,taperense,JOSÉ ANTONIO CAVALCANTE,494.498,32111,60.77,96.6,0.527,20.11,73028.23958,82282.41918,6988.02,
São Luís do Quitunde,2708501,quitundense,FERNANDA MARIA SILVA CAVALCANTI DE OLIVE,397.366,34415,81.61,90.4,0.536,6.75,83130.37136,23458.11584,12215.12,
São Miguel dos Campos,2708600,miguelense,PEDRO RICARDO ALVES JATOBÁ,360.882,60775,151.27,96.6,0.623,15.27,177416.0122,165273.9049,15258,
São Miguel dos Milagres,2708709,milagrense ou miguelense,RUBENS FELISBERTO DE ATAIDE JUNIOR,76.731,7888,93.34,97,0.591,25.97,26725.57454,26393.25789,12952.9,
São Sebastião,2708808,salomeense,JOSÉ PACHECO FILHO,315.167,34011,101.59,95.4,0.549,8.35,124809.1394,88489.20901,9874.79,
Satuba,2708907,satubense,JOSE PAULINO ACIOLY DE ARAUJO,41.268,13716,342.57,91,0.66,16.76,34841.57111,33643.89282,10056.88,
Senador Rui Palmeira,2708956,rui-palmeirense,JEANE OLIVEIRA MOURA SILVA CHAGAS,341.992,13818,38.07,97.6,0.518,17.78,39110.86741,35162.98394,5928.25,
Tanque d'Arca,2709004,tanquense,WILMARIO VALENÇA SILVA JUNIOR,124.761,6187,47.27,97.5,0.555,10.99,31782.3664,19719.31569,7497.95,
Taquarana,2709103,taquaranense,SEBASTIÃO ANTONIO DA SILVA,153.702,19886,114.55,97.7,0.541,10,55245.70163,58124.97226,11758.83,
Teotônio Vilela,2709152,vilelano,JOÃO JOSÉ PEREIRA FILHO,299.222,43960,138.15,96.9,0.564,17.29,Não informado,Não informado,8947.42,
Traipu,2709202,traipusense,EDUARDO TAVARES MENDES,686.05,27632,36.82,95.2,0.532,26.47,54540.86174,49447.38009,6881.21,
União dos Palmares,2709301,palmarino,ARESKI DAMARA DE OMENA FREITAS JUNIOR,420.72,65461,148.24,96.2,0.593,12.95,131780.4117,134961.1215,11990.47,
Viçosa,2709400,viçosense,DAVID DANIEL VASCONCELOS BRANDÃO DE ALME,371.612,25773,74,94.4,0.586,14.39,67984.45267,28324.84397,9930.24,
Serra do Navio,1600055,serranaviense,ELSON BELO LOBATO,7713.046,5306,0.56,98.4,0.709,13.7,16879.7836,16698.07531,12865.4,
Amapá,1600105,amapaense,CARLOS SAMPAIO DUARTE,8454.847,9029,0.88,95.8,0.642,-,14952.63111,12013.33582,16519.72,
Pedra Branca do Amapari,1600154,pedrabrancanienses,ELIZABETH PELAES DOS SANTOS,9622.29,15931,1.13,92.1,0.626,21.98,51121.0689,50112.86569,20478.7,
Calçoene,1600204,calçoenense,JONES FÁBIO NUNES CAVALCANTE,14117.297,10926,0.63,97,0.643,36.08,18929.15947,20434.11798,14204.35,
Cutias,1600212,cutienses,RAIMUNDO BARBOSA AMANAJÁS FILHO,2179.114,5864,2.22,96.9,0.628,25,5748,9607.02054,12621.63,
Ferreira Gomes,1600238,ferreirense,JOÃO ÁLVARO ROCHA RODRIGUES,4973.852,7591,1.15,96.2,0.656,21.51,25220.01038,25026.86463,49132.42,
Itaubal,1600253,itaubenses,VICTOR HUGO LOPES RODRIGUES,1622.867,5387,2.5,94.9,0.576,16.95,11334.35206,10023.30834,12847.32,
Laranjal do Jari,1600279,laranjalense,MARCIO CLAY DA COSTA SERRÃO,30782.998,49446,1.29,97.6,0.665,23.09,68126.85606,70160.51802,16741.38,
Macapá,1600303,macapaense,CLÉCIO LUÍS VILHENA VIEIRA,6563.849,493634,62.14,94.8,0.733,19.12,836674.6692,730153.476,19935.32,
Mazagão,1600402,mazaganistas,JOÃO DA SILVA COSTA,13294.778,21206,1.3,92.9,0.592,11.82,34729.88349,28201.53364,11601.08,
Oiapoque,1600501,oiapoquenses,MARIA ORLANDA MARQUES GARCIA,23034.392,26627,0.91,96,0.658,13.26,35540.67762,38321.00969,14199,
Porto Grande,1600535,portograndense,JOSE MARIA BESSA DE OLIVEIRA,4428.013,21484,3.82,97.8,0.64,16.36,34387.39669,38407.99081,15672.35,
Pracuúba,1600550,pracuubense,BELIZE CONCEIÇÃO COSTA RAMOS,4948.511,4993,0.77,98.7,0.614,-,10435.56447,8420.20148,13213.94,
Santana,1600600,santanenses,OFIRNEY DA CONCEIÇÃO SADALA,1541.224,119610,64.11,95.9,0.692,13.08,162899.4223,163129.6432,15891.21,
Tartarugalzinho,1600709,tartarugalense ou tartaruguense,RILDO GOMES DE OLIVEIRA,6684.705,16855,1.87,94.3,0.592,17.3,24816.30282,19610.31803,11948.74,
Vitória do Jari,1600808,vitorenses,RAIMUNDO DE ALCIMAR NEY DE SOUZA,2508.979,15605,5.01,97.1,0.619,10.95,31583.60566,31090.37258,12472.79,
Alvarães,1300029,alvarãense,EDY RUBEM TOMAS BARBOZA,5923.461,15860,2.38,75.3,0.527,16.34,38845.40139,30986.94366,9405.95,
Amaturá,1300060,amaturaense,JOAQUIM FRANCISCO DA SILVA CORADO,4754.109,11332,1.99,86.3,0.56,45.45,28640.36058,28695.24859,5995.44,
Anamã,1300086,anamãense,FRANCISCO NUNES BASTOS,2446.121,13269,4.16,93.6,0.594,-,28005.85764,22667.93379,7533.21,
Anori,1300102,anoriense,JAMILSON RIBEIRO CARVALHO,6036.38,20538,2.82,84.9,0.561,16,40989.54516,35525.43595,8972.25,
Apuí,1300144,apuiense,ADIMILSON NOGUEIRA,54240.556,21583,0.33,93.4,0.637,17.94,38939.07821,32864.8987,8809.62,
Atalaia do Norte,1300201,atalaiense,NONATO DO NASCIMENTO TENAZOR,76435.093,19438,0.2,65.5,0.45,30.02,48638.5964,44193.3168,9085.35,
Autazes,1300300,autazense,ANDRESON ADRIANO OLIVEIRA CAVALCANTE,7652.852,38830,4.23,94.6,0.577,10.5,77151.96604,67700.34349,7621.23,
Barcelos,1300409,barcelense,EDSON DE PAULA RODRIGUES MENDES,122461.086,27364,0.21,64.7,0.5,27.78,45272.18238,33700.14721,5697.67,
Barreirinha,1300508,barreirinhense,GLENIO JOSÉ MARQUES SEIXAS,5751.765,31593,4.76,97.5,0.574,28.26,73846.53905,61253.96215,7059.8,
Benjamin Constant,1300607,benjamin-constantense,DAVID NUNES BEMERGUY,8695.392,42020,3.8,89.6,0.574,17.72,94229.92065,80057.41934,6602.92,
Beruri,1300631,beruriense,MARIA LUCIR SANTOS DE OLIVEIRA,17472.785,19258,0.9,90.4,0.506,10.35,49151.43239,44787.64989,6557.79,
Boa Vista do Ramos,1300680,boa-vistense,ERALDO TRINDADE DA SILVA,2589.407,18781,5.79,95.9,0.565,12.31,39427.32598,33465.64931,6089.15,
Boca do Acre,1300706,bocacrense,JOSE MARIA SILVA DA CRUZ,21938.591,33976,1.4,88,0.588,10.93,58849.15813,52281.19949,9115.38,
Borba,1300805,borbense,SIMÃO PEIXOTO LIMA,44236.184,40565,0.79,91.2,0.56,16.93,82838.84407,77976.42252,6655.2,
Caapiranga,1300839,caapiranguense,ANTONIO FERREIRA LIMA,9455.539,12877,1.16,89.4,0.569,9.85,29923.16035,29487.69821,11526.96,
Canutama,1300904,canutamense,OTANIEL LYRA DE OLIVEIRA,33642.597,15450,0.43,87.6,0.53,12.99,34237.33488,28869.12615,6351.22,
Carauari,1301001,carauariense,BRUNO LUIS LITAIFF RAMALHO,25778.658,28076,1,90.2,0.549,27.78,61010.46087,52252.85629,9371.46,
Careiro,1301100,careirense,NATHAN MACENA DE SOUZA,6096.21,37384,5.37,88.6,0.557,2.36,68325.35622,69100.00715,6543.75,
Careiro da Várzea,1301159,careirense-da-várzea,PEDRO DUARTE GUEDES,2627.474,29595,9.09,94.8,0.568,-,45407.41449,40614.70411,10321.25,
Coari,1301209,coariense,ADAIL JOSE FIGUEIREDO PINHEIRO,57970.768,84272,1.31,86.8,0.586,18.24,252725.4232,223233.6395,13520.93,
Codajás,1301308,codajasense,ABRAHAM LINCOLN DIB BASTOS,18700.713,28100,1.24,83.7,0.563,7.06,50540.78663,42224.3671,23736.94,
Eirunepé,1301407,eirunepeense,RAYLAN BARROSO DE ALENCAR,14966.244,34840,2.04,90.7,0.563,25.97,66904.9367,61167.85634,11363.73,
Envira,1301506,envirense,IVON RATES DA SILVA,7505.807,19668,2.18,83.9,0.509,26.04,44845.44285,37464.30573,7448.88,
Fonte Boa,1301605,fonte-boense,GILBERTO FERREIRA LISBOA,12155.427,18221,1.88,84.8,0.53,11.61,54258.27618,52828.29492,7417.66,
Guajará,1301654,guajaraense,ORDEAN GONZAGA DA SILVA,7583.72,16416,1.84,93.1,0.532,14.08,37941.68239,32012.09095,6834.22,
Humaitá,1301704,humaitaense,HERIVANEO VIEIRA DE OLIVEIRA,33111.143,54001,1.34,90.4,0.605,10.33,105121.4335,90640.85349,9430.87,
Ipixuna,1301803,ipixunense,MARIA DO SOCORRO DE PAULA OLIVEIRA,12109.777,28933,1.85,65.4,0.481,35.62,40727.83193,34558.28011,4533.95,
Iranduba,1301852,irandubense,FRANCISCO GOMES DA SILVA,2216.817,47571,18.42,93.4,0.613,11.53,119021.3624,105353.6648,13618.27,
Itacoatiara,1301902,itacoatiarense,ANTONIO PEIXOTO DE OLIVEIRA,8891.906,99955,9.77,95.1,0.644,11.18,196371.9276,196160.0626,20860.58,
Itamarati,1301951,itamaratiense,ANTONIO MAIA DA SILVA,25260.429,7888,0.32,81,0.477,11.95,29463.90578,26435.48452,10320.44,
Itapiranga,1302009,itapiranguense,DENISE DE FARIAS LIMA,4335.075,9064,1.94,95.1,0.654,-,25171.8943,22287.50923,11123.21,
Japurá,1302108,japuraense,GRACINEIDE LOPES DE SOUZA,55827.207,3265,0.13,80.8,0.522,13.51,32835.58309,30170.31723,12701.43,
Juruá,1302207,juruaense,JOSE MARIA RODRIGUES DA ROCHA JUNIOR,19442.548,14312,0.56,90.1,0.522,21.39,32668.01595,29849.06554,6535.08,
